"Time (s)","Pressure (hPa)"
4.722806681E1,9.876364746E2
4.726806431E1,9.876408691E2
4.730806743E1,9.876447754E2
4.734806754E1,9.876469116E2
4.738805874E1,9.876473389E2
4.742805556E1,9.876477051E2
4.746806019E1,9.876488037E2
4.750805926E1,9.876492920E2
4.754806394E1,9.876516113E2
4.758806608E1,9.876561890E2
4.762806722E1,9.876590576E2
4.766806467E1,9.876596069E2
4.770805613E1,9.876594238E2
4.774805894E1,9.876611938E2
4.778805702E1,9.876627197E2
4.782806473E1,9.876658936E2
4.786806134E1,9.876703491E2
4.790806186E1,9.876713257E2
4.794806728E1,9.876705322E2
4.798806134E1,9.876699829E2
4.802806728E1,9.876673584E2
4.806805436E1,9.876654663E2
4.810805624E1,9.876685791E2
4.814806316E1,9.876727295E2
4.818806238E1,9.876777954E2
4.822805952E1,9.876830444E2
4.826806743E1,9.876871338E2
4.830806676E1,9.876873779E2
4.834805837E1,9.876880493E2
4.838805769E1,9.876895142E2
4.842805754E1,9.876912842E2
4.846806290E1,9.876904907E2
4.850806160E1,9.876953735E2
4.854806082E1,9.877009277E2
4.858806931E1,9.877020874E2
4.862806519E1,9.877043457E2
4.866806722E1,9.877106934E2
4.870805676E1,9.877133179E2
4.874805941E1,9.877121582E2
4.878806186E1,9.877125244E2
4.882806082E1,9.877129517E2
4.886806290E1,9.877117920E2
4.890806498E1,9.877111816E2
4.894806540E1,9.877135010E2
4.898805618E1,9.877170410E2
4.902805644E1,9.877205811E2
4.906805723E1,9.877236938E2
4.910806030E1,9.877264404E2
4.914806186E1,9.877277832E2
4.918806473E1,9.877279053E2
4.922806525E1,9.877279663E2
4.926806483E1,9.877284546E2
4.930805644E1,9.877303467E2
4.934805764E1,9.877318726E2
4.938805650E1,9.877301025E2
4.942805676E1,9.877299194E2
4.946806707E1,9.877316895E2
4.950806290E1,9.877320557E2
4.954806561E1,9.877342529E2
4.958806561E1,9.877380371E2
4.962806691E1,9.877398071E2
4.966806858E1,9.877411499E2
4.970805530E1,9.877426147E2
4.974805446E1,9.877446899E2
4.978806082E1,9.877484741E2
4.982806160E1,9.877482910E2
4.986806186E1,9.877467041E2
4.990806462E1,9.877452393E2
