"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.613292769E0,7.230429649E-1,-5.418872833E-1,-1.637900829E0
1.618292769E0,8.403918743E-1,-1.097226143E-1,-9.652290344E-1
1.623292769E0,7.842268944E-1,3.854866028E-1,-7.182741165E-2
1.628292769E0,5.207300186E-1,5.112123489E-1,-1.627111435E-1
1.633292769E0,2.126767635E-1,6.308546066E-1,-2.862854004E-1
1.638292769E0,-5.966234207E-2,7.434101105E-1,-7.557535172E-2
1.643292769E0,-2.603745461E-1,7.558288574E-1,8.127880096E-2
1.648292769E0,-7.433941364E-1,5.016813278E-1,2.179765701E-2
1.653292769E0,-1.122228861E0,4.958438873E-2,-2.242946625E-1
1.658292769E0,-7.665462494E-1,-2.678594589E-1,-4.852676392E-1
1.663292769E0,-4.044592381E-1,-1.976509094E-1,-5.187530518E-1
1.668292769E0,-7.917857170E-2,-4.912376404E-3,-3.683977127E-1
1.673292769E0,1.777977943E-1,2.197923660E-1,-5.688333511E-2
1.678292769E0,2.849240303E-1,4.508666992E-1,3.286981583E-1
1.683292769E0,3.183374405E-1,5.771799088E-1,6.738138199E-1
1.688292769E0,3.238496780E-1,5.801968575E-1,9.873085022E-1
1.693292769E0,2.862751484E-1,4.801549911E-1,1.147624969E0
1.698292769E0,1.563930511E-1,3.359351158E-1,1.149647236E0
1.703292769E0,-2.029418945E-2,1.711869240E-1,9.397730827E-1
1.708292769E0,-1.129970551E-1,6.501817703E-2,7.642006874E-1
1.713292769E0,-1.537399292E-1,8.425712585E-3,5.947618484E-1
1.718292769E0,-1.355736256E-1,3.300333023E-2,4.833931923E-1
1.723292769E0,-1.524806023E-2,7.346343994E-2,4.557375908E-1
1.728292769E0,1.237637997E-1,1.165919304E-1,4.892797470E-1
1.733292769E0,2.174305916E-1,1.082811356E-1,5.438041687E-1
1.738292769E0,3.108778000E-1,6.496334076E-2,6.311478615E-1
1.743292769E0,3.066394329E-1,-2.245330811E-2,6.646766663E-1
1.748292769E0,2.985432148E-1,-1.163110733E-1,6.909694672E-1
1.753292769E0,2.608544827E-1,-2.118692398E-1,6.690444946E-1
1.758292769E0,1.206660271E-1,-2.714266777E-1,4.573988914E-1
1.763292769E0,-8.876943588E-2,-2.974767685E-1,1.275620461E-1
1.768292769E0,-1.492362022E-1,-2.453422546E-1,-1.465930939E-1
1.773292769E0,-1.080904007E-1,-1.420836449E-1,-3.255696297E-1
1.778292769E0,-9.655261040E-2,1.028299332E-2,-3.518867493E-1
1.783292769E0,-7.316899300E-2,1.615390778E-1,-2.566566467E-1
1.788292769E0,-2.584648132E-2,2.678680420E-1,-1.026239395E-1
1.793292769E0,5.230045319E-2,3.099746704E-1,2.392244339E-2
1.798292769E0,1.202590466E-1,2.681999207E-1,1.297731400E-1
1.803292769E0,1.772968769E-1,2.186889648E-1,2.260370255E-1
1.808292769E0,1.465795040E-1,1.667623520E-1,2.750182152E-1
1.813292769E0,7.740283012E-2,1.202201843E-1,3.465986252E-1
1.818292769E0,1.658320427E-2,5.342960358E-2,4.126639366E-1
1.823292769E0,-5.481576920E-2,-3.071689606E-2,4.680805206E-1
1.828292769E0,-7.413744926E-2,-1.465215683E-1,4.296908379E-1
1.833292769E0,-8.916711807E-2,-2.176370621E-1,3.488416672E-1
1.838292769E0,-1.196620464E-1,-2.332129478E-1,2.966618538E-1
1.843292769E0,-1.072213650E-1,-1.926813126E-1,2.092151642E-1
1.848292769E0,-3.995919228E-2,-1.220831871E-1,2.000455856E-1
1.853292769E0,-4.624247551E-2,-2.453660965E-2,1.450676918E-1
1.858292769E0,-1.073086262E-1,7.338094711E-2,2.708101273E-2
1.863292769E0,-1.406881809E-1,1.895208359E-1,-4.185009003E-2
1.868292769E0,-9.062218666E-2,2.610249519E-1,-6.715726852E-2
