"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.240329277E1,-5.971051380E-2,-2.086614817E-1,-9.804247856E0
1.240829277E1,-5.886105075E-2,-2.085434943E-1,-9.804255486E0
1.241329277E1,-5.778655037E-2,-2.085255384E-1,-9.804262161E0
1.241829277E1,-5.712711066E-2,-2.084327638E-1,-9.804268837E0
1.242329277E1,-5.662519857E-2,-2.083301395E-1,-9.804273605E0
1.242829277E1,-5.629699305E-2,-2.083847523E-1,-9.804274559E0
1.243329277E1,-5.631184578E-2,-2.085886449E-1,-9.804269791E0
1.243829277E1,-5.622396246E-2,-2.086102813E-1,-9.804268837E0
1.244329277E1,-5.550355092E-2,-2.086038888E-1,-9.804274559E0
1.244829277E1,-5.465714261E-2,-2.087237090E-1,-9.804276466E0
1.245329277E1,-5.381196365E-2,-2.088158578E-1,-9.804279327E0
1.245829277E1,-5.292219669E-2,-2.089553475E-1,-9.804281235E0
1.246329277E1,-5.255799741E-2,-2.089998424E-1,-9.804282188E0
1.246829277E1,-5.261269584E-2,-2.090828121E-1,-9.804280281E0
1.247329277E1,-5.270881578E-2,-2.089350224E-1,-9.804282188E0
1.247829277E1,-5.255489051E-2,-2.084834725E-1,-9.804292679E0
1.248329277E1,-5.285827070E-2,-2.082980871E-1,-9.804295540E0
1.248829277E1,-5.325220898E-2,-2.083390206E-1,-9.804291725E0
1.249329277E1,-5.296514556E-2,-2.083197385E-1,-9.804293633E0
1.249829277E1,-5.280894786E-2,-2.080438733E-1,-9.804301262E0
1.250329277E1,-5.266404524E-2,-2.078095376E-1,-9.804306984E0
1.250829277E1,-5.229944363E-2,-2.078419030E-1,-9.804307938E0
1.251329277E1,-5.151946098E-2,-2.081121355E-1,-9.804306030E0
1.251829277E1,-5.095365271E-2,-2.082114071E-1,-9.804306984E0
1.252329277E1,-5.049201101E-2,-2.082184255E-1,-9.804308891E0
1.252829277E1,-5.021745712E-2,-2.083594799E-1,-9.804307938E0
1.253329277E1,-5.084199086E-2,-2.084388882E-1,-9.804303169E0
1.253829277E1,-5.174272880E-2,-2.083927989E-1,-9.804299355E0
1.254329277E1,-5.237282068E-2,-2.083302736E-1,-9.804297447E0
1.254829277E1,-5.259341747E-2,-2.080987543E-1,-9.804300308E0
1.255329277E1,-5.275190994E-2,-2.079549134E-1,-9.804303169E0
1.255829277E1,-5.312123150E-2,-2.077110708E-1,-9.804306984E0
1.256329277E1,-5.294928327E-2,-2.074721158E-1,-9.804312706E0
1.256829277E1,-5.303042009E-2,-2.073763460E-1,-9.804313660E0
1.257329277E1,-5.327405035E-2,-2.072981596E-1,-9.804314613E0
1.257829277E1,-5.334086716E-2,-2.071477473E-1,-9.804317474E0
