"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.194952690E-1,2.900080681E-1,-4.210385382E-1,-2.599229515E-1
7.216141230E-1,2.985601723E-1,-4.222602844E-1,-2.538143098E-1
7.237329770E-1,3.046688139E-1,-4.198168218E-1,-2.477056682E-1
7.258518310E-1,3.095557392E-1,-4.185950756E-1,-2.415970266E-1
7.279706330E-1,3.119991720E-1,-4.173733592E-1,-2.342666388E-1
7.300894870E-1,3.168860972E-1,-4.137081802E-1,-2.257145345E-1
7.322083420E-1,3.181078434E-1,-4.149298966E-1,-2.183841616E-1
7.343271960E-1,3.205513060E-1,-4.149298966E-1,-2.110537887E-1
7.364459980E-1,3.193295598E-1,-4.161516428E-1,-2.037234008E-1
7.385648520E-1,3.193295598E-1,-4.198168218E-1,-1.976147592E-1
7.406837060E-1,3.168860972E-1,-4.210385382E-1,-1.902843714E-1
7.428025600E-1,3.132209182E-1,-4.210385382E-1,-1.853974611E-1
7.449213620E-1,3.107774556E-1,-4.185950756E-1,-1.805105358E-1
7.470402170E-1,3.058905303E-1,-4.161516428E-1,-1.768453568E-1
7.491590710E-1,3.010036349E-1,-4.112647176E-1,-1.731801629E-1
7.512779250E-1,2.985601723E-1,-4.039343297E-1,-1.719584316E-1
7.533967270E-1,2.961167097E-1,-3.966039717E-1,-1.707367003E-1
7.555155810E-1,2.912297845E-1,-3.856084049E-1,-1.707367003E-1
7.576344350E-1,2.851211429E-1,-3.733910918E-1,-1.707367003E-1
7.597532900E-1,2.802342176E-1,-3.611738086E-1,-1.719584316E-1
7.618720920E-1,2.716821134E-1,-3.465130329E-1,-1.744018942E-1
7.639909460E-1,2.643517256E-1,-3.306305707E-1,-1.744018942E-1
7.661098000E-1,2.545779049E-1,-3.171915412E-1,-1.768453568E-1
7.682286540E-1,2.423606068E-1,-3.000873327E-1,-1.756236255E-1
7.703475080E-1,2.338084877E-1,-2.793179154E-1,-1.756236255E-1
7.724663100E-1,2.215912044E-1,-2.658788860E-1,-1.768453568E-1
7.745851650E-1,2.069304436E-1,-2.475529462E-1,-1.780670881E-1
7.767040190E-1,1.934914142E-1,-2.304487377E-1,-1.756236255E-1
7.788228730E-1,1.812741160E-1,-2.133445293E-1,-1.756236255E-1
7.809416750E-1,1.653916389E-1,-1.986837685E-1,-1.719584316E-1
7.830605290E-1,1.507308781E-1,-1.815795600E-1,-1.695149690E-1
