"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.079676590E2,3.281250000E1,-1.854375076E1,-2.336250114E1
1.079776590E2,3.001875114E1,-1.770000076E1,-2.105625153E1
1.079876590E2,3.802500153E1,-1.796250153E1,-2.536875153E1
1.079976590E2,4.815000153E1,-1.929375076E1,-3.307500076E1
1.080076590E2,4.938750076E1,-1.800000000E1,-3.476250076E1
1.080176590E2,4.218750000E1,-1.633125114E1,-2.651250076E1
1.080276590E2,3.412500000E1,-1.445625019E1,-2.107500076E1
1.080376590E2,3.215625000E1,-1.130625057E1,-2.302500153E1
1.080476590E2,3.930000305E1,-1.470000076E1,-3.035625076E1
1.080576590E2,4.293750000E1,-1.965000153E1,-2.842500114E1
1.080676590E2,4.366875076E1,-2.079375076E1,-2.553750038E1
1.080776590E2,4.273125076E1,-1.901250076E1,-2.786250114E1
1.080876590E2,4.267500305E1,-1.693125153E1,-3.286875153E1
1.080976590E2,4.173750305E1,-1.516875076E1,-3.598125076E1
1.081076590E2,4.110000229E1,-1.421250057E1,-3.433125305E1
1.081176590E2,4.023750305E1,-1.552500057E1,-2.795625114E1
1.081276590E2,4.126875305E1,-1.678125000E1,-2.349375153E1
1.081376590E2,3.894375229E1,-1.820625114E1,-2.428125191E1
1.081476590E2,4.100625229E1,-1.728750038E1,-3.063750076E1
1.081576590E2,4.198125076E1,-1.636875153E1,-3.384375000E1
1.081676590E2,4.306875229E1,-1.644375038E1,-3.324375153E1
1.081776590E2,4.222500229E1,-1.681875038E1,-2.694375038E1
1.081876590E2,3.984375000E1,-1.670625114E1,-2.332500076E1
1.081976590E2,3.843750000E1,-1.653750038E1,-2.581875038E1
1.082076590E2,3.888750076E1,-1.736250114E1,-2.825625038E1
1.082176590E2,3.952500153E1,-1.730625153E1,-3.373125076E1
1.082276590E2,4.095000076E1,-1.736250114E1,-3.313125229E1
1.082376590E2,4.085625076E1,-1.710000038E1,-2.923125076E1
1.082476590E2,4.003125000E1,-1.798125076E1,-2.446875191E1
1.082576590E2,3.635625076E1,-1.948125076E1,-2.460000038E1
1.082676590E2,3.832500076E1,-1.614375114E1,-2.896875191E1
1.082776590E2,3.808125305E1,-1.766250038E1,-3.180000114E1
1.082876590E2,4.036875153E1,-1.833750153E1,-3.288750076E1
1.082976590E2,4.078125000E1,-1.738125038E1,-2.701875114E1
1.083076590E2,3.928125000E1,-1.674375153E1,-2.330625153E1
1.083176590E2,3.793125153E1,-1.678125000E1,-2.188125038E1
1.083276590E2,3.605625153E1,-1.719375038E1,-2.760000038E1
1.083376590E2,3.823125076E1,-1.843125153E1,-3.174375153E1
1.083476590E2,3.946875000E1,-1.631250000E1,-3.178125191E1
1.083576590E2,4.005000305E1,-1.518750095E1,-2.610000038E1
1.083676590E2,3.909375000E1,-1.691250038E1,-2.343750000E1
1.083776590E2,3.710625076E1,-1.689375114E1,-2.403750038E1
1.083876590E2,3.534375000E1,-1.758750153E1,-2.865000153E1
1.083976590E2,3.770625305E1,-1.770000076E1,-3.288750076E1
1.084076590E2,3.738750076E1,-1.831875038E1,-3.112500191E1
1.084176590E2,4.023750305E1,-1.552500057E1,-2.795625114E1
1.084276590E2,3.900000000E1,-1.595625019E1,-2.336250114E1
1.084376590E2,3.892500305E1,-1.530000019E1,-2.216250038E1
1.084476590E2,3.680625153E1,-1.612500000E1,-2.488125038E1
1.084576590E2,3.931875229E1,-1.520625019E1,-3.187500191E1
1.084676590E2,3.937500000E1,-1.535625076E1,-3.170625114E1
1.084776590E2,3.901875305E1,-1.638750076E1,-2.786250114E1
1.084876590E2,3.870000076E1,-1.522500038E1,-2.499375153E1
1.084976590E2,3.858750153E1,-1.492500019E1,-2.531250191E1
1.085076590E2,3.699375153E1,-1.702500153E1,-2.919375038E1
1.085176590E2,3.789375305E1,-1.711875153E1,-3.528750229E1
1.085276590E2,4.063125229E1,-1.758750153E1,-3.528750229E1
1.085376590E2,4.053750229E1,-1.794375038E1,-3.026250076E1
1.085476590E2,3.971250153E1,-1.882500076E1,-2.563125038E1
1.085576590E2,3.886875153E1,-1.933125114E1,-2.465625191E1
1.085676590E2,3.710625076E1,-2.032500076E1,-2.891250038E1
1.085776590E2,3.703125000E1,-2.135625076E1,-3.210000229E1
1.085876590E2,3.883125305E1,-2.191875076E1,-3.301875305E1
1.085976590E2,4.108125305E1,-1.813125038E1,-2.619375038E1
1.086076590E2,3.894375229E1,-1.976250076E1,-2.304375076E1
1.086176590E2,3.731250000E1,-2.028750038E1,-2.173125076E1
1.086276590E2,3.770625305E1,-1.940625000E1,-2.525625038E1
1.086376590E2,3.845625305E1,-1.942500114E1,-2.760000038E1
1.086476590E2,3.838125229E1,-1.807500076E1,-3.020625114E1
1.086576590E2,3.948750305E1,-1.820625114E1,-2.583750153E1
1.086676590E2,3.905625153E1,-1.610625076E1,-2.319375038E1
1.086776590E2,3.781875229E1,-1.533750057E1,-2.058750153E1
1.086876590E2,3.708750153E1,-1.659375000E1,-2.531250191E1
1.086976590E2,3.909375000E1,-1.520625019E1,-3.108750153E1
1.087076590E2,3.909375000E1,-1.520625019E1,-3.108750153E1
1.087176590E2,4.072500229E1,-1.413750076E1,-3.026250076E1
1.087276590E2,3.903750229E1,-1.305000019E1,-2.705625153E1
1.087376590E2,3.853125000E1,-1.500000095E1,-2.797500038E1
1.087476590E2,3.699375153E1,-1.702500153E1,-2.919375038E1
1.087576590E2,3.798750305E1,-1.755000114E1,-3.352500153E1
1.087676590E2,4.001250076E1,-1.651875114E1,-3.536250305E1
1.087776590E2,4.113750076E1,-1.695000076E1,-3.018750191E1
1.087876590E2,3.952500153E1,-1.747500038E1,-2.778750038E1
1.087976590E2,3.862500000E1,-1.689375114E1,-2.780625153E1
1.088076590E2,3.840000153E1,-1.659375000E1,-2.799375153E1
1.088176590E2,3.886875153E1,-1.762500000E1,-3.213750076E1
1.088276590E2,4.063125229E1,-1.820625114E1,-3.429375076E1
1.088376590E2,4.233750153E1,-1.640625000E1,-3.026250076E1
1.088476590E2,4.091250229E1,-1.434375095E1,-2.649375153E1
1.088576590E2,3.941250229E1,-1.522500038E1,-2.030625153E1
1.088676590E2,3.943125153E1,-1.434375095E1,-2.898750114E1
1.088776590E2,4.258125305E1,-1.351875019E1,-3.504375076E1
1.088876590E2,4.258125305E1,-1.351875019E1,-3.504375076E1
1.088976590E2,4.201875305E1,-1.239375019E1,-3.324375153E1
1.089076590E2,4.136250305E1,-1.340625095E1,-2.752500153E1
1.089176590E2,4.136250305E1,-1.340625095E1,-2.752500153E1
1.089276590E2,4.025625229E1,-1.558125019E1,-3.592500305E1
1.089376590E2,4.216875076E1,-1.642500114E1,-3.650625229E1
1.089476590E2,4.050000000E1,-1.653750038E1,-3.069375038E1
1.089576590E2,4.276875305E1,-1.680000114E1,-2.805000114E1
1.089676590E2,3.890625000E1,-1.826250076E1,-2.660625076E1
1.089776590E2,3.918750000E1,-1.831875038E1,-2.958750153E1
1.089876590E2,3.945000076E1,-1.933125114E1,-3.230625153E1
1.089976590E2,4.153125000E1,-1.700625038E1,-3.316875076E1
1.090076590E2,4.276875305E1,-1.704375076E1,-3.084375191E1
1.090176590E2,4.141875076E1,-1.633125114E1,-2.508750153E1
1.090276590E2,3.841875076E1,-1.725000000E1,-2.310000038E1
1.090376590E2,3.808125305E1,-1.740000153E1,-2.823750114E1
1.090476590E2,3.753750229E1,-1.762500000E1,-2.960625076E1
1.090576590E2,4.036875153E1,-1.741875076E1,-3.390000153E1
1.090676590E2,4.164375305E1,-1.740000153E1,-3.000000191E1
1.090776590E2,4.027500153E1,-1.816875076E1,-2.617500114E1
1.090876590E2,3.802500153E1,-1.711875153E1,-2.325000000E1
1.090976590E2,3.675000000E1,-1.599375057E1,-2.536875153E1
1.091076590E2,3.723750305E1,-1.451250076E1,-3.033750153E1
1.091176590E2,3.922500229E1,-1.635000038E1,-3.255000305E1
1.091276590E2,3.907500076E1,-1.616250038E1,-3.116250038E1
1.091376590E2,4.048125076E1,-1.488750076E1,-2.801250076E1
1.091476590E2,3.742500305E1,-1.627500153E1,-2.535000038E1
1.091576590E2,3.804375076E1,-1.661250114E1,-2.799375153E1
1.091676590E2,3.650625229E1,-1.803750038E1,-3.050625038E1
1.091776590E2,3.990000153E1,-1.755000114E1,-3.153750038E1
1.091876590E2,3.946875000E1,-1.755000114E1,-3.075000191E1
1.091976590E2,4.089375305E1,-1.861875153E1,-2.613750076E1
1.092076590E2,3.866250229E1,-1.590000057E1,-2.617500114E1
1.092176590E2,3.716250229E1,-1.631250000E1,-2.690625191E1
1.092276590E2,3.667500305E1,-1.576875019E1,-2.896875191E1
1.092376590E2,3.714375305E1,-1.680000114E1,-3.311250305E1
1.092476590E2,3.933750153E1,-1.642500114E1,-2.973750114E1
1.092576590E2,4.111875153E1,-1.738125038E1,-2.812500191E1
1.092676590E2,4.003125000E1,-1.798125076E1,-2.446875191E1
1.092776590E2,3.635625076E1,-1.856250000E1,-2.593125153E1
1.092876590E2,3.568125153E1,-1.633125114E1,-3.031875038E1
1.092976590E2,3.832500076E1,-1.698750114E1,-3.108750153E1
1.093076590E2,3.937500000E1,-1.659375000E1,-3.018750191E1
1.093176590E2,4.258125305E1,-1.790625000E1,-2.763750076E1
1.093276590E2,4.016250229E1,-1.704375076E1,-2.486250114E1
1.093376590E2,3.729375076E1,-1.661250114E1,-2.610000038E1
1.093476590E2,3.705000305E1,-1.541250038E1,-2.821875191E1
1.093576590E2,3.997500229E1,-1.528125095E1,-2.985000038E1
1.093676590E2,4.181250000E1,-1.599375057E1,-3.091875076E1
1.093776590E2,4.327500153E1,-1.578750038E1,-2.641875076E1
1.093876590E2,4.115625000E1,-1.710000038E1,-2.315625000E1
1.093976590E2,3.759375000E1,-1.828125000E1,-2.392500114E1
1.094076590E2,3.744375229E1,-1.668750000E1,-2.985000038E1
1.094176590E2,3.916875076E1,-1.659375000E1,-2.956875038E1
1.094276590E2,4.194375229E1,-1.867500114E1,-3.099375153E1
1.094376590E2,4.310625076E1,-1.749375153E1,-2.501250076E1
1.094476590E2,4.151250076E1,-1.850625038E1,-2.351250076E1
1.094576590E2,3.800625229E1,-1.498125076E1,-2.608125114E1
1.094676590E2,3.577500153E1,-1.800000000E1,-2.705625153E1
